Crime type,Easting,Northing
Other crime,333162,105555
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Other crime,375118,164658
Anti-social behaviour,375118,164658
Anti-social behaviour,375118,164658
Other crime,353991,116705
Other crime,353991,116705
Vehicle crime,353991,116705
Other crime,353991,116705
Anti-social behaviour,353991,116705
Anti-social behaviour,344019,109865
Other crime,365496,180844
Vehicle crime,360369,167074
Vehicle crime,354724,173374
Vehicle crime,354724,173374
Anti-social behaviour,355542,172894
Other crime,364403,170877
Other crime,364403,170877
Anti-social behaviour,364403,170877
Anti-social behaviour,357958,174089
Anti-social behaviour,357958,174089
Anti-social behaviour,357958,174089
Other crime,364900,173255
Other crime,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,370746,181263
Anti-social behaviour,354387,184308
Robbery,363182,174994
Violent crime,363182,174994
Other crime,363182,174994
Other crime,363182,174994
Anti-social behaviour,363182,174994
Anti-social behaviour,330578,148803
Other crime,360588,173763
Burglary,370309,176181
Burglary,370309,176181
Anti-social behaviour,370309,176181
Burglary,370485,174633
Other crime,370485,174633
Other crime,333596,161533
Other crime,364525,175613
Burglary,364525,175613
Anti-social behaviour,364525,175613
Other crime,364404,167546
Burglary,353479,117051
Violent crime,361116,169262
Anti-social behaviour,361116,169262
Anti-social behaviour,361116,169262
Anti-social behaviour,358452,171880
Violent crime,357452,168430
Violent crime,357452,168430
Other crime,357452,168430
Anti-social behaviour,357452,168430
Other crime,330504,148975
Violent crime,330504,148975
Vehicle crime,330504,148975
Anti-social behaviour,330504,148975
Anti-social behaviour,331471,146869
Anti-social behaviour,323934,126505
Anti-social behaviour,366914,177334
Anti-social behaviour,366914,177334
Other crime,332488,160580
Other crime,332488,160580
Burglary,332488,160580
Violent crime,360899,168077
Other crime,331256,137503
Violent crime,360982,172887
Violent crime,360982,172887
Violent crime,360982,172887
Other crime,363152,173355
Other crime,363152,173355
Other crime,363152,173355
Burglary,363152,173355
Anti-social behaviour,363152,173355
Anti-social behaviour,363152,173355
Anti-social behaviour,360554,169868
Burglary,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Other crime,334307,160909
Anti-social behaviour,334307,160909
Anti-social behaviour,334307,160909
Anti-social behaviour,352283,177797
Anti-social behaviour,359741,169405
Violent crime,359766,174463
Other crime,359766,174463
Other crime,372997,164580
Anti-social behaviour,372997,164580
Anti-social behaviour,372997,164580
Anti-social behaviour,372997,164580
Other crime,354408,117340
Other crime,360511,172121
Other crime,360511,172121
Anti-social behaviour,360511,172121
Other crime,361518,173674
Violent crime,361518,173674
Vehicle crime,359582,174254
Burglary,359582,174254
Robbery,359582,174254
Anti-social behaviour,359515,174274
Violent crime,332301,161787
Other crime,360687,172027
Other crime,340368,171423
Anti-social behaviour,340368,171423
Other crime,346887,176188
Anti-social behaviour,364567,172237
Anti-social behaviour,364567,172237
Anti-social behaviour,329459,136712
Anti-social behaviour,329459,136712
Anti-social behaviour,329459,136712
Anti-social behaviour,329459,136712
Anti-social behaviour,329459,136712
Other crime,362936,175522
Violent crime,362936,175522
Other crime,362624,176848
Other crime,362624,176848
Anti-social behaviour,362624,176848
Anti-social behaviour,362624,176848
Robbery,360866,174249
Violent crime,360866,174249
Anti-social behaviour,360866,174249
Anti-social behaviour,360866,174249
Other crime,297534,145256
Other crime,297534,145256
Other crime,297534,145256
Anti-social behaviour,297534,145256
Anti-social behaviour,297534,145256
Anti-social behaviour,362546,175282
Anti-social behaviour,324639,123460
Other crime,368191,154519
Anti-social behaviour,368191,154519
Anti-social behaviour,368191,154519
Anti-social behaviour,368191,154519
Other crime,331424,136402
Violent crime,331424,136402
Anti-social behaviour,355574,115482
Violent crime,358383,167217
Other crime,358383,167217
Other crime,358383,167217
Anti-social behaviour,358383,167217
Anti-social behaviour,358383,167217
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Burglary,332135,161360
Violent crime,332135,161360
Violent crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Other crime,332135,161360
Violent crime,332135,161360
Other crime,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Anti-social behaviour,332135,161360
Other crime,362841,175646
Other crime,362841,175646
Violent crime,362841,175646
Anti-social behaviour,362841,175646
Anti-social behaviour,364931,175654
Other crime,313786,120896
Violent crime,313786,120896
Other crime,329348,137119
Anti-social behaviour,329348,137119
Anti-social behaviour,329348,137119
Anti-social behaviour,329348,137119
Anti-social behaviour,356848,169278
Other crime,378001,147586
Burglary,297065,145943
Other crime,356740,116771
Violent crime,356740,116771
Other crime,361349,170800
Anti-social behaviour,361349,170800
Other crime,369310,149221
Anti-social behaviour,328212,136783
Anti-social behaviour,328212,136783
Other crime,358570,173633
Anti-social behaviour,361503,173595
Other crime,354626,145042
Anti-social behaviour,354626,145042
Anti-social behaviour,354626,145042
Other crime,323689,124791
Other crime,323689,124791
Other crime,332266,161507
Violent crime,332266,161507
Violent crime,332266,161507
Other crime,332266,161507
Burglary,332266,161507
Anti-social behaviour,332266,161507
Anti-social behaviour,332266,161507
Anti-social behaviour,332266,161507
Other crime,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Anti-social behaviour,374903,165277
Other crime,360881,173979
Vehicle crime,360881,173979
Anti-social behaviour,360881,173979
Anti-social behaviour,360881,173979
Anti-social behaviour,332065,162168
Burglary,330696,136830
Violent crime,330696,136830
Violent crime,330696,136830
Violent crime,330696,136830
Other crime,330696,136830
Violent crime,330696,136830
Anti-social behaviour,330696,136830
Anti-social behaviour,330696,136830
Other crime,329508,135440
Burglary,308006,128406
Burglary,308006,128406
Other crime,308006,128406
Anti-social behaviour,308006,128406
Burglary,360360,175292
Other crime,325176,124946
Other crime,325176,124946
Other crime,325176,124946
Other crime,325176,124946
Other crime,325176,124946
Vehicle crime,325176,124946
Anti-social behaviour,325176,124946
Anti-social behaviour,325176,124946
Vehicle crime,358117,172026
Burglary,362322,171479
Anti-social behaviour,362322,171479
Other crime,365280,173980
Anti-social behaviour,365383,174103
Anti-social behaviour,357537,173884
Burglary,357646,173897
Other crime,323255,124401
Anti-social behaviour,323255,124401
Other crime,332191,161432
Other crime,332191,161432
Other crime,332191,161432
Other crime,365837,176113
Violent crime,365837,176113
Anti-social behaviour,365738,155866
Burglary,375104,165812
Other crime,361254,174162
Other crime,361254,174162
Anti-social behaviour,361254,174162
Anti-social behaviour,365655,155850
Other crime,364584,174029
Burglary,364584,174029
Burglary,364584,174029
Burglary,364584,174029
Other crime,364584,174029
Anti-social behaviour,364584,174029
Anti-social behaviour,364584,174029
Other crime,321283,123403
Violent crime,331338,146718
Other crime,359706,176457
Anti-social behaviour,359706,176457
Anti-social behaviour,361980,173985
Burglary,331959,107991
Other crime,331959,107991
Anti-social behaviour,331959,107991
Other crime,354984,177186
Violent crime,354984,177186
Anti-social behaviour,354984,177186
Anti-social behaviour,321759,121628
Anti-social behaviour,332615,160295
Other crime,360845,181765
Anti-social behaviour,360845,181765
Anti-social behaviour,364588,177252
Anti-social behaviour,372586,187929
Other crime,357846,178540
Other crime,357201,172579
Anti-social behaviour,357201,172579
Anti-social behaviour,357201,172579
Anti-social behaviour,357223,172656
Anti-social behaviour,360512,177761
Anti-social behaviour,360512,177761
Anti-social behaviour,360512,177761
Anti-social behaviour,360512,177761
Anti-social behaviour,360512,177761
Burglary,366136,174526
Violent crime,366136,174526
Anti-social behaviour,366136,174526
Anti-social behaviour,366136,174526
Other crime,307069,143257
Anti-social behaviour,352566,175507
Anti-social behaviour,352566,175507
Other crime,359826,170626
Other crime,359826,170626
Anti-social behaviour,362674,172821
Anti-social behaviour,362674,172821
Burglary,333364,160208
Violent crime,333364,160208
Burglary,333364,160208
Anti-social behaviour,333364,160208
Anti-social behaviour,333364,160208
Other crime,364066,172345
Anti-social behaviour,364066,172345
Violent crime,357738,176648
Violent crime,371000,181820
Burglary,331814,136651
Anti-social behaviour,357724,179216
Other crime,336627,162727
Anti-social behaviour,336627,162727
Other crime,331997,137323
Anti-social behaviour,372488,165403
Violent crime,313738,119833
Anti-social behaviour,313738,119833
Violent crime,358147,171037
Anti-social behaviour,358147,171037
Robbery,361041,174864
Violent crime,361041,174864
Other crime,357464,172575
Other crime,357464,172575
Other crime,357464,172575
Other crime,357464,172575
Anti-social behaviour,357464,172575
Anti-social behaviour,357464,172575
Burglary,363695,174692
Anti-social behaviour,363695,174692
Anti-social behaviour,363695,174692
Violent crime,359349,173906
Anti-social behaviour,359349,173906
Anti-social behaviour,359349,173906
Anti-social behaviour,359349,173906
Other crime,375228,164971
Other crime,375228,164971
Other crime,375228,164971
Violent crime,375228,164971
Violent crime,375228,164971
Other crime,375228,164971
Anti-social behaviour,375228,164971
Anti-social behaviour,375228,164971
Anti-social behaviour,375228,164971
Anti-social behaviour,375228,164971
Anti-social behaviour,375228,164971
Other crime,361028,174840
Violent crime,361028,174840
Vehicle crime,358944,174369
Anti-social behaviour,358944,174369
Anti-social behaviour,358944,174369
Vehicle crime,358890,174468
Other crime,358890,174468
Vehicle crime,358890,174468
Violent crime,359573,182017
Anti-social behaviour,359573,182017
Anti-social behaviour,359573,182017
Anti-social behaviour,359573,182017
Other crime,361810,172504
Burglary,361810,172504
Other crime,361810,172504
Anti-social behaviour,361810,172504
Vehicle crime,357527,173472
Burglary,357527,173472
Burglary,357527,173472
Violent crime,375433,164165
Other crime,375433,164165
Other crime,375433,164165
Other crime,375433,164165
Anti-social behaviour,375433,164165
Anti-social behaviour,375433,164165
Other crime,352455,116940
Other crime,352455,116940
Vehicle crime,352455,116940
Burglary,360297,173841
Other crime,360297,173841
Anti-social behaviour,360297,173841
Anti-social behaviour,360297,173841
Anti-social behaviour,378641,148305
Anti-social behaviour,378641,148305
Anti-social behaviour,356788,178465
Anti-social behaviour,354535,114552
Anti-social behaviour,354535,114552
Anti-social behaviour,366577,175123
Burglary,336192,163929
Other crime,359708,175754
Other crime,359708,175754
Violent crime,360626,173086
Vehicle crime,360626,173086
Violent crime,361428,173533
Anti-social behaviour,361428,173533
Vehicle crime,367119,176589
Anti-social behaviour,367119,176589
Anti-social behaviour,367119,176589
Other crime,357333,167725
Anti-social behaviour,357333,167725
Other crime,357670,168025
Violent crime,375402,166137
Burglary,332398,162061
Other crime,337681,162661
Other crime,337681,162661
Other crime,295646,146160
Anti-social behaviour,295646,146160
Vehicle crime,360963,183110
Anti-social behaviour,360963,183110
Anti-social behaviour,372263,119987
Anti-social behaviour,372263,119987
Burglary,358250,178198
Anti-social behaviour,367513,172798
Anti-social behaviour,332827,161438
Anti-social behaviour,332827,161438
Anti-social behaviour,359869,169047
Other crime,331139,148891
Anti-social behaviour,331139,148891
Violent crime,331200,148986
Anti-social behaviour,364813,168419
Anti-social behaviour,361909,175293
Anti-social behaviour,333400,161927
Other crime,374899,143751
Burglary,374899,143751
Other crime,374899,143751
Other crime,346187,119374
Vehicle crime,357599,171282
Anti-social behaviour,355655,117423
Anti-social behaviour,321327,123859
Anti-social behaviour,321327,123859
Other crime,350470,163869
Anti-social behaviour,350470,163869
Other crime,359875,175852
Anti-social behaviour,357709,174373
Anti-social behaviour,357211,167911
Other crime,344288,110373
Burglary,330049,136126
Other crime,330049,136126
Anti-social behaviour,330049,136126
Anti-social behaviour,330049,136126
Anti-social behaviour,330049,136126
Other crime,365162,156520
Anti-social behaviour,365788,173582
Burglary,330784,148698
Burglary,359625,175843
Other crime,359689,175885
Anti-social behaviour,359772,174804
Other crime,359620,175048
Anti-social behaviour,359620,175048
Violent crime,359494,174196
Other crime,321637,124429
Vehicle crime,321637,124429
Other crime,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Anti-social behaviour,321637,124429
Vehicle crime,357349,171803
Other crime,357295,171787
Anti-social behaviour,357295,171787
Anti-social behaviour,357295,171787
Other crime,356971,171567
Other crime,356971,171567
Other crime,356971,171567
Burglary,356971,171567
Anti-social behaviour,356971,171567
Anti-social behaviour,356971,171567
Anti-social behaviour,356971,171567
Anti-social behaviour,356971,171567
Vehicle crime,356469,171297
Burglary,378465,148968
Vehicle crime,351287,138334
Anti-social behaviour,351287,138334
Anti-social behaviour,351287,138334
Anti-social behaviour,360017,168695
Anti-social behaviour,360017,168695
Anti-social behaviour,360017,168695
Vehicle crime,357420,117562
Anti-social behaviour,357420,117562
Anti-social behaviour,378674,149145
Other crime,354412,178090
Burglary,354412,178090
Vehicle crime,367551,172275
Anti-social behaviour,330090,135660
Other crime,359200,170068
Anti-social behaviour,359200,170068
Anti-social behaviour,359200,170068
Anti-social behaviour,359200,170068
Anti-social behaviour,359200,170068
Violent crime,330701,148223
Violent crime,330701,148223
Other crime,330701,148223
Other crime,330701,148223
Other crime,330701,148223
Violent crime,330701,148223
Other crime,330701,148223
Anti-social behaviour,330701,148223
Violent crime,352438,177930
Other crime,352438,177930
Other crime,352438,177930
Anti-social behaviour,331264,162288
Other crime,359173,171041
Anti-social behaviour,359173,171041
Burglary,354764,178845
Burglary,354764,178845
Anti-social behaviour,354764,178845
Anti-social behaviour,354764,178845
Burglary,366681,171247
Anti-social behaviour,366681,171247
Other crime,357811,174478
Anti-social behaviour,332672,108232
Anti-social behaviour,332672,108232
Anti-social behaviour,332672,108232
Burglary,360128,177804
Anti-social behaviour,360128,177804
Anti-social behaviour,360128,177804
Anti-social behaviour,360128,177804
Other crime,373547,165512
Anti-social behaviour,358711,177045
Anti-social behaviour,364672,158009
Vehicle crime,377736,147011
Violent crime,377736,147011
Anti-social behaviour,363588,172554
Burglary,356533,170651
Other crime,317110,127131
Violent crime,332659,158994
Violent crime,332659,158994
Other crime,378097,167597
Anti-social behaviour,378097,167597
Anti-social behaviour,357091,172142
Anti-social behaviour,357091,172142
Anti-social behaviour,355838,174916
Other crime,372382,165077
Anti-social behaviour,372382,165077
Anti-social behaviour,352203,176289
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Anti-social behaviour,346113,176350
Violent crime,351856,178035
Other crime,351856,178035
Other crime,351856,178035
Other crime,351856,178035
Other crime,351856,178035
Anti-social behaviour,351856,178035
Anti-social behaviour,351856,178035
Other crime,351885,178482
Other crime,351885,178482
Other crime,351885,178482
Other crime,351885,178482
Other crime,361327,172613
Burglary,361327,172613
Other crime,361327,172613
Burglary,354755,178277
Other crime,345211,154337
Violent crime,345211,154337
Vehicle crime,345211,154337
Other crime,359899,170635
Vehicle crime,330771,136234
Burglary,334037,105133
Other crime,321930,124454
Anti-social behaviour,321930,124454
Anti-social behaviour,321930,124454
Anti-social behaviour,321930,124454
Violent crime,357860,170456
Anti-social behaviour,357934,170458
Other crime,336093,164199
Anti-social behaviour,336093,164199
Burglary,377944,173828
Other crime,317344,122774
Anti-social behaviour,317344,122774
Anti-social behaviour,317344,122774
Other crime,372487,188434
Other crime,347549,109732
Other crime,347549,109732
Violent crime,340920,150375
Other crime,350298,148949
Other crime,365478,168586
Violent crime,365478,168586
Burglary,365478,168586
Other crime,359156,173760
Burglary,359156,173760
Other crime,359156,173760
Anti-social behaviour,359156,173760
Other crime,359183,173837
Other crime,359183,173837
Other crime,359183,173837
Other crime,359183,173837
Anti-social behaviour,359183,173837
Anti-social behaviour,324508,124047
Other crime,377227,148000
Anti-social behaviour,377227,148000
Anti-social behaviour,377227,148000
Anti-social behaviour,361407,173203
Burglary,366374,173297
Other crime,366374,173297
Other crime,366374,173297
Other crime,366374,173297
Other crime,366374,173297
Anti-social behaviour,366374,173297
Anti-social behaviour,366374,173297
Anti-social behaviour,366374,173297
Anti-social behaviour,366374,173297
Anti-social behaviour,366374,173297
Anti-social behaviour,353721,177635
Other crime,320762,124297
Violent crime,370539,180702
Anti-social behaviour,370539,180702
Anti-social behaviour,367643,181023
Violent crime,365191,177168
Violent crime,359865,174229
Anti-social behaviour,359865,174229
Anti-social behaviour,359865,174229
Anti-social behaviour,359865,174229
Anti-social behaviour,359865,174229
Anti-social behaviour,359865,174229
Anti-social behaviour,329993,135543
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Other crime,362929,139266
Anti-social behaviour,362929,139266
Anti-social behaviour,362929,139266
Other crime,322737,126417
Burglary,322737,126417
Anti-social behaviour,322737,126417
Burglary,312454,119484
Burglary,312454,119484
Other crime,368900,187392
Vehicle crime,333010,159750
Violent crime,333010,159750
Anti-social behaviour,333010,159750
Anti-social behaviour,333010,159750
Anti-social behaviour,333010,159750
Anti-social behaviour,330699,137415
Anti-social behaviour,330699,137415
Anti-social behaviour,317025,127386
Other crime,361481,176122
Anti-social behaviour,343149,154288
Anti-social behaviour,350485,140235
Other crime,332443,161558
Other crime,332443,161558
Other crime,332443,161558
Burglary,332443,161558
Anti-social behaviour,332443,161558
Burglary,320433,124154
Other crime,363080,180273
Other crime,363080,180273
Anti-social behaviour,363080,180273
Anti-social behaviour,364716,151399
Other crime,362880,175134
Anti-social behaviour,354013,145587
Vehicle crime,323809,125116
Anti-social behaviour,323809,125116
Anti-social behaviour,323809,125116
Anti-social behaviour,323809,125116
Anti-social behaviour,323809,125116
Anti-social behaviour,323809,125116
Anti-social behaviour,323809,125116
Violent crime,358798,172881
Other crime,358798,172881
Other crime,358798,172881
Other crime,358798,172881
Violent crime,358798,172881
Other crime,358798,172881
Other crime,358798,172881
Burglary,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,358798,172881
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Anti-social behaviour,357582,171430
Violent crime,374767,165561
Burglary,374767,165561
Anti-social behaviour,374767,165561
Anti-social behaviour,374767,165561
Other crime,360414,171515
Anti-social behaviour,365826,170746
Other crime,359562,174846
Burglary,359562,174846
Burglary,359562,174846
Burglary,357204,116862
Anti-social behaviour,357204,116862
Anti-social behaviour,371668,128469
Anti-social behaviour,352563,175785
Violent crime,357930,169300
Anti-social behaviour,296701,145994
Violent crime,296873,146125
Violent crime,296873,146125
Anti-social behaviour,353454,177651
Anti-social behaviour,356202,184908
Violent crime,359406,174267
Violent crime,359406,174267
Violent crime,359406,174267
Other crime,359406,174267
Other crime,359406,174267
Other crime,359406,174267
Anti-social behaviour,359406,174267
Violent crime,356058,172915
Violent crime,360779,174001
Robbery,359147,169748
Anti-social behaviour,359147,169748
Other crime,338242,157593
Anti-social behaviour,373824,161878
Burglary,342751,166084
Anti-social behaviour,342751,166084
Anti-social behaviour,342751,166084
Anti-social behaviour,358850,167284
Anti-social behaviour,358850,167284
Anti-social behaviour,358850,167284
Anti-social behaviour,358850,167284
Other crime,330347,137050
Other crime,330347,137050
Anti-social behaviour,330347,137050
Anti-social behaviour,330347,137050
Anti-social behaviour,330347,137050
Other crime,364163,173816
Other crime,364163,173816
Violent crime,360220,174030
Vehicle crime,360220,174030
Anti-social behaviour,360220,174030
Anti-social behaviour,361450,176217
Anti-social behaviour,354132,145396
Anti-social behaviour,354132,145396
Anti-social behaviour,354132,145396
Other crime,356722,176412
Other crime,336451,164431
Other crime,323635,126086
Anti-social behaviour,323635,126086
Anti-social behaviour,366661,176593
Burglary,343819,109243
Violent crime,347989,128182
Burglary,343861,109303
Anti-social behaviour,346898,116011
Anti-social behaviour,343839,109525
Violent crime,364668,167964
Other crime,364668,167964
Anti-social behaviour,364668,167964
Anti-social behaviour,364668,167964
Anti-social behaviour,354283,117322
Anti-social behaviour,354283,117322
Anti-social behaviour,359368,169769
Anti-social behaviour,359368,169769
Anti-social behaviour,368247,169643
Anti-social behaviour,358885,172259
Anti-social behaviour,358885,172259
Anti-social behaviour,358885,172259
Anti-social behaviour,361006,174233
Violent crime,365575,174537
Burglary,365575,174537
Anti-social behaviour,365575,174537
Anti-social behaviour,365575,174537
Anti-social behaviour,365575,174537
Anti-social behaviour,365575,174537
Anti-social behaviour,365575,174537
Anti-social behaviour,365575,174537
Other crime,361000,143499
Anti-social behaviour,325187,125305
Other crime,352451,177170
Other crime,352451,177170
Anti-social behaviour,352451,177170
Vehicle crime,360520,173142
Anti-social behaviour,353816,177498
Anti-social behaviour,353816,177498
Other crime,333307,158481
Burglary,333307,158481
Burglary,333307,158481
Violent crime,333307,158481
Violent crime,333307,158481
Anti-social behaviour,333307,158481
Anti-social behaviour,333307,158481
Anti-social behaviour,333307,158481
Other crime,367179,170268
Violent crime,342831,127229
Violent crime,358776,171698
Anti-social behaviour,358776,171698
Anti-social behaviour,358776,171698
Anti-social behaviour,358776,171698
Anti-social behaviour,358776,171698
Other crime,329854,152097
Vehicle crime,345601,117880
Violent crime,345601,117880
Other crime,360817,173038
Other crime,337412,140073
Anti-social behaviour,329845,151967
Violent crime,374858,164903
Violent crime,374858,164903
Violent crime,374858,164903
Other crime,358971,173656
Anti-social behaviour,332475,125145
Anti-social behaviour,332058,141773
Other crime,360060,173808
Burglary,360060,173808
Burglary,360060,173808
Burglary,360060,173808
Violent crime,360060,173808
Other crime,360060,173808
Violent crime,360060,173808
Anti-social behaviour,360060,173808
Anti-social behaviour,360060,173808
Other crime,359145,174310
Other crime,359145,174310
Other crime,359145,174310
Other crime,359145,174310
Violent crime,359145,174310
Other crime,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,359145,174310
Anti-social behaviour,361669,170861
Anti-social behaviour,361669,170861
Anti-social behaviour,361669,170861
Anti-social behaviour,361669,170861
Burglary,350882,158527
Other crime,331082,137927
Other crime,331082,137927
Anti-social behaviour,331082,137927
Anti-social behaviour,331082,137927
Burglary,377256,156324
Anti-social behaviour,365905,160735
Burglary,356522,146111
Other crime,365964,170888
Vehicle crime,365964,170888
Anti-social behaviour,368319,167059
Vehicle crime,359959,171797
Anti-social behaviour,359959,171797
Anti-social behaviour,359959,171797
Violent crime,357089,171584
Anti-social behaviour,357089,171584
Anti-social behaviour,357089,171584
Anti-social behaviour,345879,153219
Anti-social behaviour,345879,153219
Anti-social behaviour,365051,175827
Anti-social behaviour,365051,175827
Anti-social behaviour,377618,147895
Other crime,374983,164703
Violent crime,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,359088,172880
Anti-social behaviour,365648,150374
Anti-social behaviour,377192,166098
Other crime,378931,166945
Other crime,378931,166945
Burglary,331578,149765
Burglary,334252,161985
Violent crime,376285,164560
Other crime,376285,164560
Anti-social behaviour,376285,164560
Other crime,375489,165459
Burglary,375572,166801
Anti-social behaviour,361088,173899
Other crime,322014,123106
Other crime,367114,118922
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Violent crime,361105,174714
Other crime,361105,174714
Other crime,361105,174714
Vehicle crime,336675,114543
Other crime,336675,114543
Violent crime,340871,172793
Violent crime,359746,181423
Violent crime,359746,181423
Anti-social behaviour,359746,181423
Anti-social behaviour,359746,181423
Anti-social behaviour,341075,170508
Anti-social behaviour,330832,148143
Anti-social behaviour,330832,148143
Other crime,359994,171283
Anti-social behaviour,359994,171283
Vehicle crime,357647,175499
Other crime,359601,177136
Anti-social behaviour,334445,162252
Anti-social behaviour,334765,162039
Anti-social behaviour,334765,162039
Other crime,370448,170807
Other crime,331770,160672
Anti-social behaviour,331770,160672
Anti-social behaviour,331770,160672
Anti-social behaviour,331770,160672
Anti-social behaviour,331770,160672
Other crime,353944,185030
Anti-social behaviour,353944,185030
Anti-social behaviour,333176,164567
Anti-social behaviour,346850,176860
Violent crime,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,346428,176830
Anti-social behaviour,364026,175743
Anti-social behaviour,363933,175794
Anti-social behaviour,363933,175794
Anti-social behaviour,363933,175794
Anti-social behaviour,363933,175794
Anti-social behaviour,363933,175794
Other crime,368512,149443
Burglary,368512,149443
Vehicle crime,362267,173492
Vehicle crime,362267,173492
Anti-social behaviour,341202,171013
Anti-social behaviour,378760,149334
Violent crime,324287,125371
Anti-social behaviour,324287,125371
Anti-social behaviour,324287,125371
Anti-social behaviour,324287,125371
Other crime,361104,173063
Anti-social behaviour,361104,173063
Anti-social behaviour,356719,167499
Violent crime,360436,177789
Other crime,360436,177789
Anti-social behaviour,360436,177789
Other crime,358695,175743
Violent crime,362327,179884
Other crime,362327,179884
Anti-social behaviour,362342,173336
Vehicle crime,332573,161497
Burglary,332573,161497
Other crime,332573,161497
Other crime,332573,161497
Anti-social behaviour,364014,174481
Anti-social behaviour,370612,182869
Other crime,366174,177599
Anti-social behaviour,366174,177599
Other crime,359550,176756
Anti-social behaviour,359550,176756
Burglary,365081,176022
Anti-social behaviour,366460,181952
Other crime,360234,173671
Other crime,360234,173671
Vehicle crime,360234,173671
Violent crime,360234,173671
Other crime,360234,173671
Anti-social behaviour,360234,173671
Anti-social behaviour,360234,173671
Anti-social behaviour,360234,173671
Anti-social behaviour,360234,173671
Vehicle crime,366248,171458
Anti-social behaviour,366248,171458
Anti-social behaviour,366248,171458
Violent crime,360314,173907
Anti-social behaviour,360314,173907
Anti-social behaviour,360314,173907
Anti-social behaviour,364876,175385
Burglary,348995,138714
Burglary,348995,138714
Other crime,348995,138714
Violent crime,348995,138714
Anti-social behaviour,348995,138714
Anti-social behaviour,348995,138714
Anti-social behaviour,336459,163357
Other crime,354807,145405
Anti-social behaviour,354807,145405
Anti-social behaviour,336438,163571
Anti-social behaviour,336438,163571
Anti-social behaviour,360515,167394
Anti-social behaviour,360515,167394
Anti-social behaviour,375741,165412
Anti-social behaviour,375741,165412
Anti-social behaviour,375741,165412
Anti-social behaviour,375741,165412
Burglary,359597,170807
